#ORL FIRE
#TYPE Point Source Inventory for FIRES
#COUNTRY US
#YEAR 2016
#DESC LANDIS Emissions converted for SMOKE
#DATA ACRESBURNED HFLUX PM2_5 PM10 CO NH3 NOX SO2 VOC CO2 CH4
#DESC FIPS,FIREID,LOCID,SCC,FIRENAME,LAT,LON,NFDRSCODE,MATBURNED,HEATCONTENT
"06017","FID_spinup","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_1","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_2","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_3","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_4","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_5","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_6","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_7","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_8","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_9","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_10","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_11","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_12","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_13","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_14","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_15","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_16","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_17","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_18","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_19","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_20","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_21","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_22","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_23","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_24","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_25","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_26","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_27","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_28","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_29","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_30","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_31","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
"06017","FID_fake_32","-9","2810001000","USFS_fakefire",39.09,-120.03,"-9",12,8000.0
